index,date,duration,item,network,network_type
523,5/1/2015 10:56,144,call,landline,landline
524,5/1/2015 11:58,99,call,Meteor,mobile
525,5/1/2015 14:29,60,call,landline,landline
526,5/1/2015 16:41,682,call,Three,mobile
527,5/1/2015 17:22,36,call,Tesco,mobile
528,5/1/2015 20:23,734,call,Three,mobile
529,6/1/2015 6:58,34.429,data,data,data
530,6/1/2015 9:04,1,sms,Three,mobile
531,6/1/2015 9:04,1,sms,Three,mobile
532,6/1/2015 13:28,16,call,Meteor,mobile
533,6/1/2015 13:29,295,call,Vodafone,mobile
534,6/1/2015 13:55,1,sms,Vodafone,mobile
535,6/1/2015 19:17,106,call,Meteor,mobile
536,6/1/2015 20:40,29,call,Vodafone,mobile
537,7/1/2015 6:58,34.429,data,data,data
538,7/1/2015 9:28,1,sms,Vodafone,mobile
539,7/1/2015 21:20,1,sms,Vodafone,mobile
540,7/1/2015 21:20,1,sms,Vodafone,mobile
541,8/1/2015 6:58,34.429,data,data,data
542,8/1/2015 15:02,4,call,Meteor,mobile
543,8/1/2015 15:10,3,call,Meteor,mobile
544,8/1/2015 15:10,23,call,Meteor,mobile
545,8/1/2015 20:15,290,call,Tesco,mobile
546,8/1/2015 20:26,1,sms,Vodafone,mobile
547,8/1/2015 20:30,12,call,Tesco,mobile
548,8/1/2015 20:31,1247,call,Three,mobile
549,8/1/2015 22:41,1,sms,Vodafone,mobile
550,8/1/2015 22:41,1,sms,Vodafone,mobile
551,8/1/2015 22:52,1,sms,Vodafone,mobile
552,8/1/2015 22:52,1,sms,Vodafone,mobile
553,8/1/2015 23:06,1,sms,Vodafone,mobile
554,8/1/2015 23:06,1,sms,Vodafone,mobile
555,9/1/2015 6:58,34.429,data,data,data
556,9/1/2015 9:25,1,sms,Meteor,mobile
557,9/1/2015 9:43,33,call,Three,mobile
558,9/1/2015 10:07,4,call,Vodafone,mobile
