,event_number,event_name,event_date,venue,audience_size,city,state,country,event_day,event_month,event_year,event_dayname
405,406,UFC on Fox: Weidman vs. Gastelum,2017-07-22,Nassau Veterans Memorial Coliseum,11198.0,Uniondale,New York,U.S.,22,7,2017,Saturday
406,407,UFC 214: Cormier vs. Jones 2,2017-07-29,Honda Center,16610.0,Anaheim,California,U.S.,29,7,2017,Saturday
407,408,UFC Fight Night: Pettis vs. Moreno,2017-08-05,Arena Ciudad de México,10172.0,Mexico City,Mexico,,5,8,2017,Saturday
408,409,UFC Fight Night: Volkov vs. Struve,2017-09-02,Rotterdam Ahoy,10224.0,Rotterdam,Netherlands,,2,9,2017,Saturday
409,410,UFC 215: Nunes vs. Shevchenko 2,2017-09-09,Rogers Place,16232.0,Edmonton,Alberta,Canada,9,9,2017,Saturday
410,411,UFC Fight Night: Rockhold vs. Branch,2017-09-16,PPG Paints Arena,7005.0,Pittsburgh,Pennsylvania,U.S.,16,9,2017,Saturday
411,412,UFC Fight Night: Saint Preux vs. Okami,2017-09-23,Saitama Super Arena,8571.0,Saitama,Japan,,23,9,2017,Saturday
412,413,UFC 216: Ferguson vs. Lee,2017-10-07,T-Mobile Arena,10638.0,Las Vegas,Nevada,U.S.,7,10,2017,Saturday
413,414,UFC Fight Night: Cowboy vs. Till,2017-10-21,Ergo Arena,11138.0,Gdańsk,Poland,,21,10,2017,Saturday
414,415,UFC Fight Night: Brunson vs. Machida,2017-10-28,Ginásio do Ibirapuera,10265.0,São Paulo,Brazil,,28,10,2017,Saturday
415,416,UFC 217: Bisping vs. St-Pierre,2017-11-04,Madison Square Garden,18201.0,New York City,New York,U.S.,4,11,2017,Saturday
416,417,UFC Fight Night: Poirier vs. Pettis,2017-11-11,Ted Constant Convocation Center,8442.0,Norfolk,Virginia,U.S.,11,11,2017,Saturday
417,418,UFC Fight Night: Werdum vs. Tybura,2017-11-19,Qudos Bank Arena,10021.0,Sydney,Australia,,19,11,2017,Sunday
418,419,UFC Fight Night: Bisping vs. Gastelum,2017-11-25,Mercedes-Benz Arena,15128.0,Shanghai,China,,25,11,2017,Saturday
419,420,The Ultimate Fighter: A New World Champion Finale,2017-12-01,Park Theater,,Las Vegas,Nevada,U.S.,1,12,2017,Friday
420,421,UFC 218: Holloway vs. Aldo 2,2017-12-02,Little Caesars Arena,17587.0,Detroit,Michigan,U.S.,2,12,2017,Saturday
421,422,UFC Fight Night: Swanson vs. Ortega,2017-12-09,Save Mart Center,7605.0,Fresno,California,U.S.,9,12,2017,Saturday
422,423,UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Bell MTS Place,8862.0,Winnipeg,Manitoba,Canada,16,12,2017,Saturday
423,424,UFC 219: Cyborg vs. Holm,2017-12-30,T-Mobile Arena,13561.0,Las Vegas,Nevada,U.S.,30,12,2017,Saturday
424,425,UFC Fight Night: Stephens vs. Choi,2018-01-14,Scottrade Center,10052.0,St. Louis,Missouri,U.S.,14,1,2018,Sunday
425,426,UFC 220: Miocic vs. Ngannou,2018-01-20,TD Garden,16015.0,Boston,Massachusetts,U.S.,20,1,2018,Saturday
426,427,UFC on Fox: Jacaré vs. Brunson 2,2018-01-27,Spectrum Center,10249.0,Charlotte,North Carolina,U.S.,27,1,2018,Saturday
427,428,UFC Fight Night: Machida vs. Anders,2018-02-03,Arena Guilherme Paraense,10144.0,Belém,Brazil,,3,2,2018,Saturday
428,429,UFC 221: Romero vs. Rockhold,2018-02-11,Perth Arena,12437.0,Perth,Australia,,11,2,2018,Sunday
429,430,UFC Fight Night: Cowboy vs. Medeiros,2018-02-18,Frank Erwin Center,10502.0,Austin,Texas,U.S.,18,2,2018,Sunday
430,431,UFC on Fox: Emmett vs. Stephens,2018-02-24,Amway Center,10124.0,Orlando,Florida,U.S.,24,2,2018,Saturday
431,432,UFC 222: Cyborg vs. Kunitskaya,2018-03-03,T-Mobile Arena,12041.0,Las Vegas,Nevada,U.S.,3,3,2018,Saturday
432,433,UFC Fight Night: Werdum vs. Volkov,2018-03-17,The O2 Arena,16274.0,London,England,U.K.,17,3,2018,Saturday
433,434,UFC 223: Khabib vs. Iaquinta,2018-04-07,Barclays Center,17026.0,Brooklyn,New York,U.S.,7,4,2018,Saturday
434,435,UFC on Fox: Poirier vs. Gaethje,2018-04-14,Gila River Arena,11382.0,Glendale,Arizona,U.S.,14,4,2018,Saturday
435,436,UFC Fight Night: Barboza vs. Lee,2018-04-21,Boardwalk Hall,9541.0,Atlantic City,New Jersey,U.S.,21,4,2018,Saturday
436,437,UFC 224: Nunes vs. Pennington,2018-05-12,Jeunesse Arena,10696.0,Rio de Janeiro,Brazil,,12,5,2018,Saturday
437,438,UFC Fight Night: Maia vs. Usman,2018-05-19,Movistar Arena,11082.0,Santiago,Chile,,19,5,2018,Saturday
438,439,UFC Fight Night: Thompson vs. Till,2018-05-27,Echo Arena,8520.0,Liverpool,England,U.K.,27,5,2018,Sunday
439,440,UFC Fight Night: Rivera vs. Moraes,2018-06-01,Adirondack Bank Center,5063.0,Utica,New York,U.S.,1,6,2018,Friday
440,441,UFC 225: Whittaker vs. Romero 2,2018-06-09,United Center,18117.0,Chicago,Illinois,U.S.,9,6,2018,Saturday
441,442,UFC Fight Night: Cowboy vs. Edwards,2018-06-23,Singapore Indoor Stadium,6419.0,Kallang,Singapore,,23,6,2018,Saturday
442,443,The Ultimate Fighter: Undefeated Finale,2018-07-06,Palms Casino Resort,2123.0,Las Vegas,Nevada,U.S,6,7,2018,Friday
443,444,UFC 226: Miocic vs. Cormier,2018-07-07,T-Mobile Arena,17464.0,Las Vegas,Nevada,U.S,7,7,2018,Saturday
444,445,UFC Fight Night: dos Santos vs. Ivanov,2018-07-14,CenturyLink Arena,5648.0,Boise,Idaho,U.S.,14,7,2018,Saturday
445,446,UFC Fight Night: Shogun vs. Smith,2018-07-22,Barclaycard Arena,7798.0,Hamburg,Germany,,22,7,2018,Sunday
446,447,UFC on Fox: Alvarez vs. Poirier 2,2018-07-28,Scotiabank Saddledome,10603.0,Calgary,Alberta,Canada,28,7,2018,Saturday
447,448,UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04,Staples Center,17794.0,Los Angeles,California,U.S.,4,8,2018,Saturday
448,449,UFC Fight Night: Gaethje vs. Vick,2018-08-25,Pinnacle Bank Arena,6409.0,Lincoln,Nebraska,U.S.,25,8,2018,Saturday
449,450,UFC 228: Woodley vs. Till,2018-09-08,American Airlines Center,14073.0,Dallas,Texas,U.S.,8,9,2018,Saturday
450,451,UFC Fight Night: Hunt vs. Oleinik,2018-09-15,Olimpiyskiy Stadium,22603.0,Moscow,Russia,,15,9,2018,Saturday
451,452,UFC Fight Night: Santos vs. Anders,2018-09-22,Ginásio do Ibirapuera,9485.0,São Paulo,Brazil,,22,9,2018,Saturday
452,453,UFC 229: Khabib vs. McGregor,2018-10-06,T-Mobile Arena,20034.0,Las Vegas,Nevada,U.S,6,10,2018,Saturday
453,454,UFC Fight Night: Volkan vs. Smith,2018-10-27,Avenir Centre,6282.0,Moncton,New Brunswick,Canada,27,10,2018,Saturday
454,455,UFC 230: Cormier vs. Lewis,2018-11-03,Madison Square Garden,17011.0,New York City,New York,U.S.,3,11,2018,Saturday
455,456,UFC Fight Night: The Korean Zombie vs. Rodríguez,2018-11-10,Pepsi Center,11426.0,Denver,Colorado,U.S.,10,11,2018,Saturday
456,457,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,Estadio Mary Terán de Weiss,10245.0,Buenos Aires,Argentina,,17,11,2018,Saturday
457,458,UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24,Cadillac Arena,10302.0,Beijing,China,,24,11,2018,Saturday
458,459,The Ultimate Fighter: Heavy Hitters Finale,2018-11-30,Pearl Theatre,2020.0,Las Vegas,Nevada,U.S.,30,11,2018,Friday
459,460,UFC Fight Night: dos Santos vs. Tuivasa,2018-12-02,Adelaide Entertainment Centre,8652.0,Adelaide,Australia,,2,12,2018,Sunday
460,461,UFC 231: Holloway vs. Ortega,2018-12-08,Scotiabank Arena,19039.0,Toronto,Ontario,Canada,8,12,2018,Saturday
461,462,UFC on Fox: Lee vs. Iaquinta 2,2018-12-15,Fiserv Forum,9010.0,Milwaukee,Wisconsin,U.S.,15,12,2018,Saturday
462,463,UFC 232: Jones vs. Gustafsson 2,2018-12-29,The Forum,15862.0,Inglewood,California,U.S.,29,12,2018,Saturday
463,464,UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19,Barclays Center,12152.0,Brooklyn,New York,U.S.,19,1,2019,Saturday
